familia,modo_color,formato,tipo_papel,papel,gramaje,cantidad_rango,caras,precio_pdf_objetivo_sin_iva,fuente_pdf_pagina
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,2 a 25,4/0,700.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,2 a 25,4/4,1043.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,2 a 25,4/0,670.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,2 a 25,4/4,1013.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,2 a 25,4/0,648.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,2 a 25,4/4,991.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,2 a 25,4/0,640.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,2 a 25,4/4,991.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,26 a 50,4/0,661.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,26 a 50,4/4,985.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,26 a 50,4/0,633.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,26 a 50,4/4,956.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,26 a 50,4/0,612.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,26 a 50,4/4,936.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,26 a 50,4/0,604.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,26 a 50,4/4,928.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,51 a 100,4/0,622.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,51 a 100,4/4,927.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,51 a 100,4/0,595.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,51 a 100,4/4,900.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,51 a 100,4/0,576.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,51 a 100,4/4,881.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,51 a 100,4/0,569.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,51 a 100,4/4,874.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,101 a 300,4/0,583.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,101 a 300,4/4,869.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,101 a 300,4/0,558.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,101 a 300,4/4,844.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,101 a 300,4/0,540.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,101 a 300,4/4,826.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,101 a 300,4/0,533.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,101 a 300,4/4,819.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,301 a 500,4/0,544.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,301 a 500,4/4,811.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,301 a 500,4/0,521.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,301 a 500,4/4,788.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,301 a 500,4/0,504.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,301 a 500,4/4,771.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,301 a 500,4/0,498.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,301 a 500,4/4,764.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,501 a 1000,4/0,505.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,501 a 1000,4/4,753.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,501 a 1000,4/0,484.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,501 a 1000,4/4,731.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,501 a 1000,4/0,468.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,501 a 1000,4/4,716.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,501 a 1000,4/0,462.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,501 a 1000,4/4,710.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,1,4/0,1065.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,1,4/4,1484.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,1,4/0,1064.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,1,4/4,1483.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,1,4/0,1012.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,1,4/4,1431.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,1,4/0,928.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,1,4/4,1347.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,2 a 25,4/0,871.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,2 a 25,4/4,1214.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,2 a 25,4/0,870.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,2 a 25,4/4,1213.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,2 a 25,4/0,828.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,2 a 25,4/4,1171.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,2 a 25,4/0,759.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,2 a 25,4/4,1102.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,26 a 50,4/0,823.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,26 a 50,4/4,1146.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,26 a 50,4/0,822.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,26 a 50,4/4,1146.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,26 a 50,4/0,782.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,26 a 50,4/4,1106.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,26 a 50,4/0,717.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,26 a 50,4/4,1041.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,51 a 100,4/0,774.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,51 a 100,4/4,1079.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,51 a 100,4/0,774.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,51 a 100,4/4,1078.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,51 a 100,4/0,736.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,51 a 100,4/4,1041.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,51 a 100,4/0,675.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,51 a 100,4/4,980.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,101 a 300,4/0,726.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,101 a 300,4/4,1012.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,101 a 300,4/0,725.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,101 a 300,4/4,1011.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,101 a 300,4/0,690.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,101 a 300,4/4,976.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,101 a 300,4/0,633.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,101 a 300,4/4,919.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,301 a 500,4/0,677.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,301 a 500,4/4,944.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,301 a 500,4/0,677.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,301 a 500,4/4,944.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,301 a 500,4/0,644.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,301 a 500,4/4,910.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,301 a 500,4/0,591.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,301 a 500,4/4,857.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,501 a 1000,4/0,629.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,501 a 1000,4/4,877.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,501 a 1000,4/0,629.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,501 a 1000,4/4,876.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,501 a 1000,4/0,598.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,501 a 1000,4/4,845.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,501 a 1000,4/0,548.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,501 a 1000,4/4,796.0,4
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesivo,Obra/Ilustración,90g,1,4/0,1069.0,4
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesivo,Autoadhesivo OPP blanco,PENDIENTE_REVISION_MANUAL,1,4/0,1797.0,4
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesivo,Papel especial tinta blanca/laca UV,PENDIENTE_REVISION_MANUAL,1,4/0,603.0,4
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesivo,Obra/Ilustración,90g,2 a 25,4/0,875.0,4
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesivo,Autoadhesivo OPP blanco,PENDIENTE_REVISION_MANUAL,2 a 25,4/0,1470.0,4
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesivo,Papel especial tinta blanca/laca UV,PENDIENTE_REVISION_MANUAL,2 a 25,4/0,572.0,4
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesivo,Obra/Ilustración,90g,26 a 50,4/0,826.0,4
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesivo,Autoadhesivo OPP blanco,PENDIENTE_REVISION_MANUAL,26 a 50,4/0,1389.0,4
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesivo,Papel especial tinta blanca/laca UV,PENDIENTE_REVISION_MANUAL,26 a 50,4/0,540.0,4
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesivo,Obra/Ilustración,90g,51 a 100,4/0,778.0,4
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesivo,Autoadhesivo OPP blanco,PENDIENTE_REVISION_MANUAL,51 a 100,4/0,1307.0,4
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesivo,Papel especial tinta blanca/laca UV,PENDIENTE_REVISION_MANUAL,51 a 100,4/0,508.0,4
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesivo,Obra/Ilustración,90g,101 a 300,4/0,729.0,4
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesivo,Autoadhesivo OPP blanco,PENDIENTE_REVISION_MANUAL,101 a 300,4/0,1225.0,4
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesivo,Papel especial tinta blanca/laca UV,PENDIENTE_REVISION_MANUAL,101 a 300,4/0,476.0,4
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesivo,Obra/Ilustración,90g,301 a 500,4/0,680.0,4
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesivo,Autoadhesivo OPP blanco,PENDIENTE_REVISION_MANUAL,301 a 500,4/0,1144.0,4
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesivo,Papel especial tinta blanca/laca UV,PENDIENTE_REVISION_MANUAL,301 a 500,4/0,445.0,4
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesivo,Obra/Ilustración,90g,501 a 1000,4/0,632.0,4
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesivo,Autoadhesivo OPP blanco,PENDIENTE_REVISION_MANUAL,501 a 1000,4/0,1062.0,4
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesivo,Papel especial tinta blanca/laca UV,PENDIENTE_REVISION_MANUAL,501 a 1000,4/0,413.0,4
Terminaciones Bajadas,fullcolor,A3+,auxiliar,Plastificado Pouch A4,N/A,0 - 10,N/A,1.0,4
Terminaciones Bajadas,fullcolor,A3+,auxiliar,Plastificado Pouch Oficio,N/A,0 - 10,N/A,1091.0,4
Terminaciones Bajadas,fullcolor,A3+,auxiliar,Plastificado Pouch A3,N/A,0 - 10,N/A,1559.0,4
Terminaciones Bajadas,fullcolor,A3+,auxiliar,Plastificado Pouch A4,N/A,2 a 10,N/A,1006.0,4
Terminaciones Bajadas,fullcolor,A3+,auxiliar,Plastificado Pouch Oficio,N/A,2 a 10,N/A,1429.0,4
Terminaciones Bajadas,fullcolor,A3+,auxiliar,Plastificado Pouch A3,N/A,2 a 10,N/A,1886.0,4
Terminaciones Bajadas,fullcolor,A3+,auxiliar,Plastificado Pouch A4,N/A,11 a 50,N/A,935.0,4
Terminaciones Bajadas,fullcolor,A3+,auxiliar,Plastificado Pouch Oficio,N/A,11 a 50,N/A,1299.0,4
Terminaciones Bajadas,fullcolor,A3+,auxiliar,Plastificado Pouch A3,N/A,11 a 50,N/A,1754.0,4
Bajadas Fullcolor,fullcolor,XL,liviano,A3 150g,150g,2 a 25,4/0,1372.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 150g,150g,2 a 25,4/4,2057.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 115g,115g,2 a 25,4/0,1318.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 115g,115g,2 a 25,4/4,2004.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 90g,90g,2 a 25,4/0,1280.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 90g,90g,2 a 25,4/4,1966.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 80g,80g,2 a 25,4/0,1265.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 80g,80g,2 a 25,4/4,1951.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 150g,150g,26 a 50,4/0,1295.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 150g,150g,26 a 50,4/4,1943.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 115g,115g,26 a 50,4/0,1245.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 115g,115g,26 a 50,4/4,1893.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 90g,90g,26 a 50,4/0,1209.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 90g,90g,26 a 50,4/4,1857.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 80g,80g,26 a 50,4/0,1195.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 80g,80g,26 a 50,4/4,1842.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 150g,150g,51 a 100,4/0,1219.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 150g,150g,51 a 100,4/4,1829.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 115g,115g,51 a 100,4/0,1172.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 115g,115g,51 a 100,4/4,1781.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 90g,90g,51 a 100,4/0,1138.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 90g,90g,51 a 100,4/4,1747.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 80g,80g,51 a 100,4/0,1124.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 80g,80g,51 a 100,4/4,1734.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 150g,150g,101 a 300,4/0,1143.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 150g,150g,101 a 300,4/4,1714.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 115g,115g,101 a 300,4/0,1099.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 115g,115g,101 a 300,4/4,1670.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 90g,90g,101 a 300,4/0,1067.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 90g,90g,101 a 300,4/4,1638.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 80g,80g,101 a 300,4/0,1054.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 80g,80g,101 a 300,4/4,1626.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 150g,150g,301 a 500,4/0,1067.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 150g,150g,301 a 500,4/4,1600.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 115g,115g,301 a 500,4/0,1025.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 115g,115g,301 a 500,4/4,1559.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 90g,90g,301 a 500,4/0,996.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 90g,90g,301 a 500,4/4,1529.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 80g,80g,301 a 500,4/0,984.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 80g,80g,301 a 500,4/4,1517.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 150g,150g,501 a 1000,4/0,991.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 150g,150g,501 a 1000,4/4,1486.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 115g,115g,501 a 1000,4/0,952.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 115g,115g,501 a 1000,4/4,1447.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 90g,90g,501 a 1000,4/0,925.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 90g,90g,501 a 1000,4/4,1420.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 80g,80g,501 a 1000,4/0,914.0,5
Bajadas Fullcolor,fullcolor,XL,liviano,A3 80g,80g,501 a 1000,4/4,1409.0,5
Bajadas Fullcolor,fullcolor,XL,pesado,Triplex 350g,350g,1,4/0,1946.0,5
Bajadas Fullcolor,fullcolor,XL,pesado,Triplex 350g,350g,1,4/4,2784.0,5
Bajadas Fullcolor,fullcolor,XL,pesado,Triplex 300g,300g,1,4/0,2049.0,5
Bajadas Fullcolor,fullcolor,XL,pesado,Triplex 300g,300g,1,4/4,2887.0,5
Bajadas Fullcolor,fullcolor,XL,pesado,Triplex 200g,200g,1,4/0,1956.0,5
Bajadas Fullcolor,fullcolor,XL,pesado,Triplex 200g,200g,1,4/4,2794.0,5
Bajadas Fullcolor,fullcolor,XL,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,1,4/0,1807.0,5
Bajadas Fullcolor,fullcolor,XL,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,1,4/4,2645.0,5
Bajadas Fullcolor,fullcolor,XL,pesado,Triplex 350g,350g,2 a 25,4/0,1592.0,5
Bajadas Fullcolor,fullcolor,XL,pesado,Triplex 350g,350g,2 a 25,4/4,2278.0,5
Bajadas Fullcolor,fullcolor,XL,pesado,Triplex 300g,300g,2 a 25,4/0,1676.0,5
Bajadas Fullcolor,fullcolor,XL,pesado,Triplex 300g,300g,2 a 25,4/4,2362.0,5
Bajadas Fullcolor,fullcolor,XL,pesado,Triplex 200g,200g,2 a 25,4/0,1600.0,5
Bajadas Fullcolor,fullcolor,XL,pesado,Triplex 200g,200g,2 a 25,4/4,2286.0,5
Bajadas Fullcolor,fullcolor,XL,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,2 a 25,4/0,1478.0,5
Bajadas Fullcolor,fullcolor,XL,pesado,PENDIENTE_REVISION_MANUAL,PENDIENTE_REVISION_MANUAL,2 a 25,4/4,2164.0,5
Bajadas Fullcolor,fullcolor,XL,pesado,Triplex 350g,350g,26 a 50,4/0,1504.0,5
